NO;ACCREDITATION;DOI;TITLE;JOURNAL;PUBLISHER;DATE PUBLISH;
1;S3;DOI: 10.20473/rlj.V6-I2.2020.128-135;E-learning in the Department of Library Science of UIN Alauddin Makassar Based on Claroline;Record and Library Journal;D3 Perpustakaan Fakultas Vokasi Universitas Airlangga;2020-10-13;
2;S4;DOI: 10.24252/literatify.v1i2.16007;Analysis of the Implementation INLISlite (Integrated Library System);Literatify: Trends in Library Developments;UPT Perpustakaan UIN Alauddin Makassar;2020-09-18;
3;S4;DOI: 10.24252/ltld.v1i1.12567;Experiences of UIN Alauddin Library Data Migration from the Old System to A New One;Literatify: Trends in Library Developments;UPT Perpustakaan UIN Alauddin Makassar;2020-02-27;
4;S3;DOI: 10.30812/varian.v3i2.666;Model Regresi Multivariat Terhadap Tingkat Kesejahteraan Kabupaten/Kota Di Sulawesi Selatan;Jurnal Varian;Universitas Bumigora;2020-04-30;
5;S5;DOI: 10.24252/msa.v8i2.15228;HARGA OPSI CALL TIPE EROPA MENGGUNAKAN SIMULASI MONTE CARLO STANDAR DAN TEKNIK ANTITHETIC VARIATES;Jurnal MSA ( Matematika dan Statistika serta Aplikasinya);Universitas Islam Negeri Alauddin Makassar;2020-12-23;
6;S5;DOI: 10.24252/msa.v8i1.19364;ANALISIS PENGENDALIAN KUALITAS STATISTIK GULA RAFINASI DENGAN PETA KENDALI MULTIVARIAT T-SQUARE (STUDI KASUS: PT. MAKASSAR TENE);Matematika dan Statistika serta Aplikasinya;Universitas Islam Negeri Alauddin Makassar;2021-06-29;
7;S5;DOI: 10.24252/insypro.v5i2.19410;SISTEM PENUNJANG KEPUTUSAN PENERIMAAN RETRIBUSI PADA DINAS PERMUKIMAN DAN KEBERSIHAN MENGGUNAKAN ALGORITMA NAÃÂVE BAYES;Jurnal INSYPRO (Information System and Processing);Prodi Sistem Informasi UIN Alauddin;2021-02-10;
8;S5;DOI: 10.24252/insypro.v5i1.15506;Maksimalisasi Constraint pada Sistem Manajemen Basisdata Relasional;Jurnal INSYPRO (Information System and Processing);Prodi Sistem Informasi UIN Alauddin;2020-05-28;
9;S3;DOI: 10.31598/sintechjournal.v3i1.542;RANCANG BANGUN SISTEM INFORMASI PARIWISATA SULAWESI SELATAN BERBASIS ANDROID DENGAN MENGGUNAKAN METODE PROTOTYPING;SINTECH (Science and Information Technology) Journal;LPPM STMIK STIKOM Indonesia;2020-04-19;
10;S4;DOI: 10.35585/inspir.v10i2.2580;Rancang Bangun Sistem Cerdas Pemberian Nilai Otomatis Untuk Ujian Essai Menggunakan Algoritma Cosine Similarity;Inspiration: Jurnal Teknologi Informasi dan Komunikasi;STMIK AKBA;2020-12-30;
11;S3;DOI: 10.12928/jrkpf.v7i1.15664;Hambatan guru fisika dalam menerapkan pembelajaran saintifik berbasis kurikulum 2013 di SMA;Jurnal Riset dan Kajian Pendidikan Fisika;Universitas Ahmad Dahlan;2020-04-30;
12;S5;DOI: 10.24252/elties.v2i1.11275;DEVELOPING INSTRUCTIONAL MATERIALS BASED ON INQUIRY LEARNING MODEL;ELTIES : English Language Teaching for EFL Learners;Universitas islam Negeri Alauddin Makassar;2020-03-29;
13;S5;DOI: 10.24252/elties.v2i1.11235;DEVELOPING INQUIRY LEARNING-BASED ENGLISH INSTRUCTIONAL MATERIALS FOR THE SEVENTH GARDE OF JUNIOR HIGH SCHOOL;ELTIES : English Language Teaching for EFL Learners;Universitas islam Negeri Alauddin Makassar;2020-03-29;
14;S5;DOI: 10.24252/elties.v2i2.11252;DEVELOPING INQUIRY LEARNING MODEL-BASED ENGLISH INSTRUCTIONAL MATERIALS FOR THE SEVENTH GRADE OF JUNIOR HIGH SCHOOL;ELTIES : English Language Teaching for EFL Learners;Universitas islam Negeri Alauddin Makassar;2020-09-30;
15;-;DOI: 10.21043/jetli.v3i2.8582;Developing English Printed Material on Theme of Plant for Early Young Learners at Paud Terpadu Joy Kids Makassar;Journal of English Teaching and Learning Issues;Institut Agama Islam Negeri Kudus;2020-12-21;
16;S2;DOI: 10.21043/jetli.v3i2.8582;Developing English Printed Material on Theme of Plant for Early Young Learners at Paud Terpadu Joy Kids Makassar;Journal of English Teaching and Learning Issues;Institut Agama Islam Negeri Kudus;2020-12-21;
17;S4;DOI: 10.36706/JPS.9.1.2020.11753;WATER LETTUCE MEAL FLOUR COULD SUBSTITUTE OTHER FEED INGREDIENTS IN KAMPONG CHICKEN;Jurnal Peternakan Sriwijaya;Department of Animal Sciences, Faculty of Agriculture, Sriwijaya University, Indonesia;2020-08-22;
18;-;DOI: 10.31327/chalaza.v5i1.1255;Percentage of Carcass and Protein Content of Breast Meat of Native Chicken Given Apu-Apu Flour (Pistia stratiotes);Chalaza Journal of Animal Husbandry;UNIVERSITAS SEMBILANBELAS NOVEMBER KOLAKA;2020-06-30;
